,Número,Distrito,Barrio,Calle,Nº Finca,Número de Plazas,Longitud,Latitud
227,231,15  CIUDAD LINEAL,15-05 SAN PASCUAL,"DERECHOS HUMANOS, CALLE, DE LOS",14,24,-3.6558172,40.439748
228,232,15  CIUDAD LINEAL,15-01 VENTAS,"JOSE MARIA PEREDA, CALLE, DE",1,24,-3.6485701,40.4328362
229,233,15  CIUDAD LINEAL,15-01 VENTAS,"MARQUES DE CORBERA, AVENIDA, DEL",12,24,-3.655633,40.4229144
230,234,15  CIUDAD LINEAL,15-01 VENTAS,"MARQUES DE CORBERA, AVENIDA, DEL",52,24,-3.651125,40.426163
231,235,02  ARGANZUELA,02-04 LEGAZPI,"SODIO, CALLE, DEL",1 B,24,-3.6911834,40.3889853
232,236,02  ARGANZUELA,02-01 IMPERIAL,"IMPERIAL, PASEO",20,24,-3.7171449,40.4074236
233,237,06  TETUÁN,06-01 BELLAS VISTAS,"FRANCISCO BALSEIRO, CALLE, DE",S/N,24,-3.7105146,40.451395
234,238,06  TETUÁN,06-02 CUATRO CAMINOS,"SAN GERMÁN, CALLE, DE",5,24,-3.6932474,40.4562183
235,239,06  TETUÁN,06-06 BERRUGUETE,"FRANCOS RODRIGUEZ, CALLE, DE",62,24,-3.7079276,40.4567345
236,240,04  SALAMANCA,04-04 GUINDALERA,"BRASILIA, AVENIDA, DE",frente al 9,24,-3.6609886,40.4367138
237,241,04  SALAMANCA,04-04 GUINDALERA,"CAMILO JOSE CELA, AVENIDA, DE",23,24,-3.6677796,40.4377568
238,242,04  SALAMANCA,04-04 GUINDALERA,"BRUSELAS, AVENIDA, DE",56,24,-3.6629058,40.4394662
239,243,04  SALAMANCA,04-04 GUINDALERA,"CARTAGENA, CALLE, DE",38,24,-3.6700894,40.4351648
240,244,07  CHAMBERÍ,07-06 VALLEHERMOSO,"ISAAC PERAL, CALLE, DE",44,24,-3.7175468,40.4398513
241,245,07  CHAMBERÍ,07-02 ARAPILES,"GALILEO, CALLE, DE",63,24,-3.7101726,40.4364656
242,246,07  CHAMBERÍ,07-03 TRAFALGAR,"SANTA ENGRACIA, CALLE, DE",87,24,-3.699252,40.436026
243,247,07  CHAMBERÍ,07-05 RÍOS ROSAS,"ZURBANO, CALLE, DE",90,24,-3.692843,40.4383672
244,248,08  FUENCARRAL-EL PARDO,08-05 LA PAZ,"SINESIO DELGADO, CALLE, DE",2,24,-3.6878414,40.4743243
245,249,05  CHAMARTÍN,05-06 CASTILLA,"CASTELLANA, PASEO, DE LA",frente al 298,24,-3.6852959,40.4794159
246,250,05  CHAMARTÍN,05-01 EL VISO,"SERRANO, CALLE, DE",113 b,24,-3.6861,40.4408151
247,251,05  CHAMARTÍN,05-02 PROSPERIDAD,"SANTA HORTENSIA, CALLE, DE",31,24,-3.6668532,40.444183
248,252,05  CHAMARTÍN,05-06 CASTILLA,"RODRIGUEZ JAEN, CALLE, DE",S/N,24,-3.6839094,40.4715645
249,253,05  CHAMARTÍN,05-04 HISPANOAMÉRICA,"DOCTOR FLEMING, CALLE, DEL",7,24,-3.688443,40.455606
250,254,05  CHAMARTÍN,05-05 NUEVA ESPAÑA,"PIO XII, AVENIDA, DE",3,24,-3.6765549,40.4610436
251,255,05  CHAMARTÍN,05-05 NUEVA ESPAÑA,"GENERAL LOPEZ POZAS, CALLE, DEL",2,24,-3.6851815,40.4637286
252,256,09  MONCLOA-ARAVACA,09-03 CIUDAD UNIVERSITARIA,"BEATRIZ DE BOBADILLA, CALLE, DE",frente al 2,24,-3.7138353,40.4463599
253,257,09  MONCLOA-ARAVACA,09-03 CIUDAD UNIVERSITARIA,"JUAN DE HERRERA, AVENIDA, DE",1,24,-3.73029,40.438804
254,258,09  MONCLOA-ARAVACA,09-03 CIUDAD UNIVERSITARIA,"COMPLUTENSE, AVENIDA",frente al 14,24,-3.7273004,40.449019
255,259,09  MONCLOA-ARAVACA,09-03 CIUDAD UNIVERSITARIA,"RAMON Y CAJAL, PLAZA, DE",S/N,24,-3.727031,40.4444176
256,260,09  MONCLOA-ARAVACA,09-03 CIUDAD UNIVERSITARIA,"JOSE ANTONIO NOVAIS, CALLE, DE",S/N,24,-3.7272637,40.4482316
257,261,09  MONCLOA-ARAVACA,09-03 CIUDAD UNIVERSITARIA,"COMPLUTENSE, AVENIDA",frente al 7,24,-3.7292576,40.4505032
